MeetingID,VideoLink
1,http://www.grupa.org/main/postsabout.html
6,http://www.fpuh.pl/categorycategory.jsp
14,https://www.salwin.pl/blog/explore/mainterms.htm
16,https://www.fabiszak.net/search/searchindex.html
17,https://grupa.net/tags/search/searchabout.htm
18,http://huszcza.pl/bloghome.html
19,https://www.bas.com/categoryregister.html
21,http://www.gabinety.com/exploreregister.html
26,https://www.borczyk-kusio.com/categoriesindex.asp
30,http://gabinety.com/categoriesabout.html
31,https://znojek-nitek.org/tags/category/categorycategory.php
38,http://www.zinkiewicz.pl/posts/blog/explorelogin.html
39,http://fpuh.pl/wp-contentauthor.asp
41,http://gierek.net/tag/category/categorypost.jsp
43,http://knapek.pl/list/listabout.htm
44,https://stowarzyszenie.pl/postssearch.html
49,https://www.fracz.com/wp-content/search/categorysearch.php
50,https://www.bernard-lokietek.pl/explore/categorylogin.html
51,http://fundacja.com/main/categorieshome.php
52,https://ppuh.com/blog/tags/tagcategory.php
59,http://www.rejmak-gagala.org/tags/categories/explorehomepage.asp
63,http://www.spoldzielnia.pl/exploreterms.php
67,https://www.fpuh.pl/main/search/bloghome.html
69,https://www.chromy.net/posts/appcategory.html
74,http://www.gabinety.net/list/postssearch.htm
80,https://www.gabinety.pl/tag/mainabout.php
81,http://www.pitura-gros.pl/search/searchindex.php
82,http://www.ppuh.com/app/tags/postsmain.asp
85,https://www.ciuba-wendt.com/categories/search/maincategory.php
86,http://www.trochim-dziadkiewicz.pl/search/main/wp-contentauthor.htm
88,https://ppuh.com/tags/search/apppost.htm
91,http://www.grupa.com/tag/main/tagauthor.php
93,https://grupa.org/category/posts/searchhome.htm
99,http://fundacja.com/explore/categories/listabout.php
100,http://gabinety.com/categories/mainmain.asp
105,https://www.grupa.com/categories/blog/postsregister.htm
108,http://drobnik.pl/app/blogpost.php
111,http://www.fundacja.com/categories/tagsabout.php
