MeetingID,Link
4,https://stowarzyszenie.com/category/wp-contenthomepage.php
5,https://spoldzielnia.com/appsearch.html
7,https://www.fundacja.pl/posts/tagprivacy.asp
8,https://www.geisler-wenzel.pl/apphomepage.htm
9,http://www.gabinety.pl/blog/explore/searchregister.html
10,https://spoldzielnia.pl/explorelogin.html
11,https://grupa.com/blog/tag/mainpost.jsp
15,http://grotek-magryta.com/tags/postshomepage.htm
23,https://www.tadeusiak.org/list/explorepost.html
24,https://www.gabinety.pl/tags/bloghome.html
25,https://www.bluszcz-wojtyna.pl/tags/listhome.jsp
34,http://koterba.com/wp-content/tag/listterms.html
35,http://fpuh.pl/app/app/wp-contentprivacy.html
36,http://gabinety.net/list/searchmain.jsp
37,https://gebauer-nieroda.pl/tagindex.htm
42,http://gabinety.net/postssearch.html
45,http://www.fundacja.pl/tags/wp-contentregister.php
46,https://www.wieclawek-gron.pl/explore/app/searchmain.html
53,https://www.ppuh.com/tags/posts/tagsmain.htm
56,https://www.durys.com/categoryauthor.htm
57,https://www.byra.pl/tag/categoriessearch.html
60,https://www.kocol.com/blogindex.html
61,https://grupa.pl/blogauthor.php
65,https://fundacja.pl/blog/wp-content/listregister.html
70,https://luckiewicz.com/categoriesmain.html
71,http://strzyz-zgola.pl/list/categories/explorecategory.jsp
72,https://gabinety.com/categories/postsprivacy.htm
75,http://gabinety.com/categories/tags/explorehome.html
76,http://www.spoldzielnia.org/tags/explore/postsauthor.htm
78,https://www.spoldzielnia.net/bloghome.html
83,http://stempin-bogumil.pl/explore/search/postspost.asp
84,http://stowarzyszenie.com/categories/categories/listsearch.php
90,http://fpuh.org/list/tagscategory.html
92,https://kapera.org/posts/bloglogin.jsp
94,http://gabinety.pl/main/exploreregister.php
96,http://www.fundacja.pl/blogsearch.html
101,https://www.kazior.com/taglogin.jsp
102,http://stowarzyszenie.org/listpost.htm
103,https://www.fpuh.pl/category/search/mainsearch.html
106,https://www.spoldzielnia.com/exploreterms.html
110,https://www.fundacja.net/tags/categories/mainabout.html
115,http://fpuh.net/search/exploremain.php
119,http://grupa.com/exploreauthor.asp
