ModuleID,Link
2,https://www.bracha-misior.com/appauthor.php
6,http://www.ppuh.com/blog/tags/tagauthor.html
7,http://www.dawiec.net/main/categorieslogin.jsp
12,https://fundacja.pl/blogabout.php
14,http://wudarczyk-dzidek.com/categoriessearch.html
25,https://fpuh.com/tags/categoriesterms.html
29,http://www.stowarzyszenie.net/category/maincategory.jsp
31,http://www.leoniak.com/blog/blogfaq.html
36,https://grupa.org/posts/category/mainauthor.asp
39,https://www.zubel.com/tags/wp-content/searchmain.htm
