TranslatorID,LanguageID
1,2
1,6
1,19
2,2
2,13
3,2
3,23
3,24
4,2
4,30
5,2
5,9
5,13
6,2
6,4
7,2
7,26
8,2
8,12
8,19
8,20
9,1
9,2
9,12
9,27
10,2
10,18
10,23
11,1
11,2
11,9
11,20
12,2
12,12
13,2
13,10
13,26
14,1
14,2
14,4
15,2
15,23
15,30
16,2
16,8
16,22
16,30
17,2
17,4
17,7
17,30
18,5
18,7
18,12
18,22
19,2
19,22
19,26
20,2
20,3
20,5
20,11
20,12
21,2
21,9
21,30
22,2
22,11
22,17
22,20
23,2
23,4
23,6
23,12
23,15
24,2
24,10
24,24
24,26
25,2
25,15
25,16
26,2
26,17
26,21
27,4
27,6
27,17
27,22
28,1
28,2
28,9
28,28
28,29
29,5
29,25
30,2
30,21
30,26
